Species,Date,Regulations,
ABERDEEN LAKE - GRAYS HARBOR CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
AKL POND - KING CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
ALDRICH LAKE - MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
ALEXANDER LAKE - KITSAP CO.,,,
All species,,CLOSED WATERS. ,
,,,
AMERICAN LAKE - PIERCE CO.,,,
All species,,Chumming permitted. ,
Kokanee,Year-round,No min. size. Combined daily limit of trout and kokanee is 5. ,
Trout,Year-round,No min. size. Combined daily limit of trout and kokanee is 5. ,
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
ARMSTRONG LAKE - SNOHOMISH CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
BAKER LAKE - WHATCOM CO.,,,
CRC (825),,,
All species,,Chumming permitted. ,
Kokanee,4th Sat. in Apr.-Oct. 31,"Min. size 8 inches. Max. size 18 inches. Daily limit 10. ",
Other game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
BAKER LAKE - WHATCOM CO.,,,
200' radius around pump discharge at the south end of lake ,,,
All species,,CLOSED WATERS. ,
,,,
BALLINGER LAKE - SNOHOMISH CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
BEAVER LAKE - CLALLAM CO.,,,
All species,,Selective gear rules. Two-Pole not allowed. ,
All game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
BEAVER LAKE - SKAGIT CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
